final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group
65,True,3.0,Half of the time,"Dungeons and Dragons,Borderlands (series),Magic: the Gathering,Overwatch,fallout (series)","Absolutely, Dungeons and Dragons, while not a video game, is a **cooperative** team game. Even though the goal is to roleplay, communication and team play is the key to success. D&D is notorious for being chaotic and having moments where anything can happen, and **working together** to try and come up with a solution is often the only way to succeed. Overwatch is a team-based strategy FPS. It is entirely reliant on teamwork and **coordination**. I learned to adapt to how other players played and **work together** to win matches.",CLB-COP,Low Frequency
65,True,3.0,Half of the time,"Dungeons and Dragons,Borderlands (series),Magic: the Gathering,Overwatch,fallout (series)","Absolutely, Dungeons and Dragons, while not a video game, is a cooperative team game. Even though the goal is to roleplay, communication and team play is the key to success. D&D is notorious for being chaotic and having moments where anything can happen, and working together to try and come up with a solution is often the only way to succeed. Overwatch is a team-based **strategy** FPS. It is entirely reliant on teamwork and coordination. I learned to adapt to how other players played and work together to win matches.",PRO-STR,Low Frequency
65,True,3.0,Half of the time,"Dungeons and Dragons,Borderlands (series),Magic: the Gathering,Overwatch,fallout (series)","Absolutely, Dungeons and Dragons, while not a video game, is a cooperative team game. Even though the goal is to roleplay, communication and team play is the key to success. D&D is notorious for being chaotic and having moments where anything can happen, and working together to try and come up with a solution is often the only way to succeed. Overwatch is a team-based strategy FPS. It is entirely reliant on teamwork and coordination. I learned to **adapt to** how other players played and work together to win matches.",PRO-ADP,Low Frequency
65,True,3.0,Half of the time,"Dungeons and Dragons,Borderlands (series),Magic: the Gathering,Overwatch,fallout (series)","Absolutely, Dungeons and Dragons, while not a video game, is a cooperative team game. Even though the **goal** is to roleplay, communication and team play is the key to success. D&D is notorious for being chaotic and having moments where anything can happen, and working together to try and come up with a solution is often the only way to succeed. Overwatch is a team-based strategy FPS. It is entirely reliant on teamwork and coordination. I learned to adapt to how other players played and work together to win matches.",PRO-GOL,Low Frequency
65,True,3.0,Half of the time,"Dungeons and Dragons,Borderlands (series),Magic: the Gathering,Overwatch,fallout (series)","Absolutely, Dungeons and Dragons, while not a video game, is a cooperative team game. Even though the goal is to roleplay, communication and team play is the key to success. D&D is notorious for being chaotic and having moments where anything can happen, and working together to try and come up with a solution is often the only way to succeed. Overwatch is a team-based strategy FPS. It is entirely reliant on **teamwork** and coordination. I learned to adapt to how other players played and work together to win matches.",INT-GRP,Low Frequency
67,True,4.0,Some of the time,"Red Dead Redemption 2 ,Tenants (It's a home building game),Cyberpunk 2077,Call of Duty - Only Zombies,Civ 5","It depends, playing team games with a good regular team does. When you play regularly with the same **group** of people, you are focused on your team either winning or getting the furthest ahead instead of just yourself with random players. Currently, the only game I play as a team is Call of Duty Zombies and I play that with the same team usually. We have to communicate about what rituals we will be doing next, which includes who will be getting different parts. We also have to share loot in order to make sure everyone has around the same level of gun and armor. We have to because as we progress to harder levels if one of our team mate doesn't have the right equipment, they will go down significantly more making it harder for the rest of the team that has to go revive them. As a team, we also split who will be using their points to open doors to ensure not one person loses too much where they can't buy a newer gun or perks. 

 ",INT-GRP,High Frequency
67,True,4.0,Some of the time,"Red Dead Redemption 2 ,Tenants (It's a home building game),Cyberpunk 2077,Call of Duty - Only Zombies,Civ 5","It depends, playing team games with a good regular team does. When you play regularly with the same group of people, you are focused on your team either winning or getting the furthest ahead instead of just yourself with random players. Currently, the only game I play as a team is Call of Duty Zombies and I play that with the same team usually. We have to communicate about what rituals we will be doing next, which includes who will be getting different parts. We also have to share loot in order to make sure everyone has around the same level of gun and armor. We have to because as we progress to harder levels if one of our team mate doesn't have the right equipment, they will go down significantly more making it harder for the rest of the team that has to go **revive** them. As a team, we also split who will be using their points to open doors to ensure not one person loses too much where they can't buy a newer gun or perks. 

 ",INT-OTH,High Frequency
67,True,3.0,Most of the time,"Rocket League,Multiversus,GTA,Call of Duty,Ready or Not",Yes I think it can. Communicating with people on the game can be beneficial in a team style game. Also being able to take in communication from multiple different people at once to make informed decisions can translate into the **real world** as well. ,DEV-NRL,Low Frequency
70,True,7.0,Half of the time,"Rainbow Six Siege,Rocket League,Fall guys,Minecraft,Halo Infinite","Yes. When working on a team, you have to be considerate towards your teammates in order to win. If you ignore them then you will likely fail. A good team knows the **strengths and weaknesses** of everyone on the team, and how best to use them to achieve the goal. You also get to know what you are good and bad at, by comparing yourself to your team. Without a team, you could not know your own **strengths and weaknesses**.",CLB-MNG,High Frequency
70,True,7.0,Half of the time,"Rainbow Six Siege,Rocket League,Fall guys,Minecraft,Halo Infinite","Yes. When working on a team, you have to be considerate towards your teammates in order to win. If you ignore them then you will likely fail. A good team knows the strengths and weaknesses of everyone on the team, and how best to use them to achieve the **goal**. You also get to know what you are good and bad at, by comparing yourself to your team. Without a team, you could not know your own strengths and weaknesses.",PRO-GOL,High Frequency
70,True,7.0,Most of the time,"World of Warcraft,World of Warcraft,World of Warcraft,World of Warcraft,World of Warcraft","I am a competitive raider in World of Warcraft consistently ranking in the top 100 ""Guilds"" when clearing the new raids that come to the game. This takes a lot of **preparation**, **planning** and several minds to make consistent strategies and ensure each member is aware of what needs to be done. I also excel as an individual player ranking in the top several hundred players of whichever class I play. (Right now its a rogue :) )",PRO-STR,High Frequency
70,True,7.0,Most of the time,"World of Warcraft,World of Warcraft,World of Warcraft,World of Warcraft,World of Warcraft","I am a competitive raider in World of Warcraft consistently ranking in the top 100 ""Guilds"" when clearing the new raids that come to the game. This takes a lot of preparation, planning and several minds to make consistent strategies and ensure each member is aware of what needs to be done. I also excel as an individual player ranking in the top several hundred players of whichever class I play. (Right now its a **rogue** :) )",CTR-LWF,High Frequency
71,True,5.0,Some of the time,"Starcraft 2,Destiny 2,Super Auto Pets,Minecraft,Diablo 3","Yes, it helps learn **efficient**, **quick**, and clear communication while managing multiple tasks at once.",COM-EFF,High Frequency
71,True,5.0,Some of the time,"Starcraft 2,Destiny 2,Super Auto Pets,Minecraft,Diablo 3","Yes, it helps learn efficient, quick, and **clear communication** while managing multiple tasks at once.",COM-CLR,High Frequency
73,True,7.0,Always,"War Thunder ,Apex Legends ,Call Of Duty ,Fortnite ,Halo","Yes because in most games it takes a whole team to win, rarely just one person, and why play if not to win. ",UNCODED,High Frequency
74,True,7.0,Most of the time,"F1 22,CS:GO,NHL 22,Rocket League,Valorant","I do believe it makes you a better team player due to the **trust** and communication needed in many games now. I played for CSU's CS:GO team for a couple years and not only does having a team make you want to work harder for them, it also gives you a group of people around you who have similar interests. As you experience difficulty and good times together it gives you that much more motivation to be even better the next time around. ",CLB-CMR,High Frequency
74,True,7.0,Most of the time,"F1 22,CS:GO,NHL 22,Rocket League,Valorant","I do believe it makes you a better **team player** due to the trust and communication needed in many games now. I played for CSU's CS:GO team for a couple years and not only does having a team make you want to work harder for them, it also gives you a **group** of people around you who have similar interests. As you experience difficulty and good times together it gives you that much more motivation to be even better the next time around. ",INT-GRP,High Frequency
74,True,7.0,Most of the time,"F1 22,CS:GO,NHL 22,Rocket League,Valorant","I do believe it makes you a better team player due to the trust and communication needed in many games now. I played for CSU's CS:GO team for a couple years and not only does having a team make you want to work harder for them, it also gives you a group of people around you who have similar interests. As you experience difficulty and good times together it gives you that much more **motivation** to be even better the next time around. ",INT-ENC,High Frequency
74,True,4.0,Half of the time,"No Man's Sky,Halo,Castle Crashers,Subnautica,Speed Runners",It only makes you a better **team player** if it is with friends. When cycling through random teammates just once then it not important to be there for your team. But when you have a connection with the teammates then it will make you a better **team player**.,INT-GRP,High Frequency
75,True,2.0,Always,"Fortnite,League of Legends,Valorant,Fall Guys,Animal Crossing","I do not believe so. I think that the environment of the gaming community has become so toxic that it is impossible to be an **efficient** communicator. Especially as a woman in the gaming community, I think that it has made me more resentful of the men. The competitive environment of the games that I play can make it unpleasant to play with other people, and sometimes me. However, I think that more relaxed games make me a good team player.",COM-EFF,Low Frequency
75,True,2.0,Always,"Fortnite,League of Legends,Valorant,Fall Guys,Animal Crossing","I do not believe so. I think that the environment of the gaming **community** has become so toxic that it is impossible to be an efficient communicator. Especially as a woman in the gaming **community**, I think that it has made me more resentful of the men. The competitive environment of the games that I play can make it unpleasant to play with other people, and sometimes me. However, I think that more relaxed games make me a good **team player**.",INT-GRP,Low Frequency
75,True,2.0,Always,"Fortnite,League of Legends,Valorant,Fall Guys,Animal Crossing","I do not believe so. I think that the environment of the gaming community has become so **toxic** that it is impossible to be an efficient communicator. Especially as a woman in the gaming community, I think that it has made me more resentful of the men. The competitive environment of the games that I play can make it unpleasant to play with other people, and sometimes me. However, I think that more relaxed games make me a good team player.",DEF-ISO,Low Frequency
75,True,5.0,Half of the time,"Payday 2,Clone Hero,Factorio,Call of Duty,Minecraft","On games that can be played with teams, we typically do perform better. Especially with a group of friends and not randoms that won't communicate. We're able to communicate where we are and what the enemy is doing for fighting games, or spread resource gathering and building with other games. I find that with Factorio, we can make really **efficient** builds when we're able to collaborate on multiple ideas for the factory.",COM-EFF,High Frequency
75,True,5.0,Half of the time,"Payday 2,Clone Hero,Factorio,Call of Duty,Minecraft","On games that can be played with teams, we typically do perform better. Especially with a group of friends and not randoms that won't communicate. We're able to communicate where we are and what the enemy is doing for fighting games, or spread resource gathering and building with other games. I find that with Factorio, we can make really efficient builds when we're able to **collaborate** on multiple ideas for the factory.",CLB-COP,High Frequency
75,True,5.0,Half of the time,"Payday 2,Clone Hero,Factorio,Call of Duty,Minecraft","On games that can be played with **teams**, we typically do perform better. Especially with a **group** of friends and not randoms that won't communicate. We're able to communicate where we are and what the enemy is doing for fighting games, or spread resource gathering and building with other games. I find that with Factorio, we can make really efficient builds when we're able to collaborate on multiple ideas for the factory.",INT-GRP,High Frequency
76,True,7.0,Always,"Star Wars Battelfront,Brawlhalla,Insurgency sandstorm,starbound,minecraft",I like gaming in **teams** a lot better. I'm much more of a **team player** and I'm not the biggest fan of solo games. I do play solo games every now and then but not as often as **team based games**.,INT-GRP,High Frequency
76,True,7.0,Always,"Star Wars Battelfront,Brawlhalla,Insurgency sandstorm,starbound,minecraft",I like gaming in teams a lot better. I'm much more of a team player and I'm not the biggest fan of **solo games**. I do play **solo games** every now and then but not as often as team based games.,DEF-SLO,High Frequency
77,True,4.0,Always,"League of Legends,Valorant,Fifa,,",Probably. Learn to communicate. Learn what works and what doesn't when talking to teammates. Typically in my games my teammates are random people that I need to be careful not to upset or they will ruin the game,UNCODED,High Frequency
77,True,5.0,Some of the time,"Multiversus,Super Smash Bros Ultimate,A lot of indie games,,","Not really. Any online, team-based games that I have played have consisted of a bunch of people doing their own thing, which isn't always the best environment for victory",UNCODED,High Frequency
77,True,3.0,Some of the time,"Minecraft,Kenshi,Left 4 Dead,Xcom,Hearts of iron 4",Minecraft taught me how to divide tasks while still having enough awareness of what the other people are doing and how to do it to **help** if needed. I would say left 4 dead taught me to rely on people but most the time it has ended with me and my friends deciding it would be fun to kill each other. ,INT-OTH,Low Frequency
77,True,3.0,Some of the time,"Minecraft,Kenshi,Left 4 Dead,Xcom,Hearts of iron 4",Minecraft taught me how to divide tasks while still having enough **awareness** of what the other people are doing and how to do it to help if needed. I would say left 4 dead taught me to rely on people but most the time it has ended with me and my friends deciding it would be fun to kill each other. ,INT-AWR,Low Frequency
79,True,7.0,Most of the time,"League of Legends,Valorant,Rust,It Takes Two,Minecraft","I believe gaming has made me a better team player because I have experinced other players not doing there job during a team game. This has resulted in my development of a ""strong mental."" Which just means I can remain level headed and still work to win or complete an **objective** despite others bad performance. 

I've learned to be more supportive and encouraging rather than negative because if you're negative it will only make things worse. ",PRO-GOL,High Frequency
79,True,7.0,Most of the time,"League of Legends,Valorant,Rust,It Takes Two,Minecraft","I believe gaming has made me a better **team player** because I have experinced other players not doing there job during a team game. This has resulted in my development of a ""strong mental."" Which just means I can remain level headed and still work to win or complete an objective despite others bad performance. 

I've learned to be more supportive and encouraging rather than negative because if you're negative it will only make things worse. ",INT-GRP,High Frequency
79,True,7.0,Most of the time,"League of Legends,Valorant,Rust,It Takes Two,Minecraft","I believe gaming has made me a better team player because I have experinced other players not doing there job during a team game. This has resulted in my development of a ""strong mental."" Which just means I can remain level headed and still work to win or complete an objective despite others bad performance. 

I've learned to be more supportive and **encouraging** rather than negative because if you're negative it will only make things worse. ",INT-ENC,High Frequency
79,True,2.0,Some of the time,"Rogue Legacy 2,Raft,The Forest,Poly Bridge 2,Batman: Arkham Origins","I believe that some of my gaming makes me a better **team player**. In some of the games I've played on **teams** such as Raft, I've had several occassions where it was easier to tackle and come up with fresh solutions to problems, which would have taken a much longer time to solve by myself. The occasional solo based game allows me to have a greater appreciation for how far I can get on my own versus working with a team, which I find enhances my future team experiences.",INT-GRP,Low Frequency
79,True,2.0,Some of the time,"Rogue Legacy 2,Raft,The Forest,Poly Bridge 2,Batman: Arkham Origins","I believe that some of my gaming makes me a better team player. In some of the games I've played on teams such as Raft, I've had several occassions where it was easier to tackle and come up with fresh solutions to problems, which would have taken a much longer time to solve by myself. The occasional **solo** based game allows me to have a greater appreciation for how far I can get on my own versus working with a team, which I find enhances my future team experiences.",DEF-SLO,Low Frequency
81,True,5.0,Some of the time,"Zelda: Breath of the Wild,Valorant,Bioshock,Last of Us,Rocket League","Gaming with a team builds skills like efficient and effective communication as well as coordination and encouragement. Success in team based games relies heavily on ability to enable your teammates to succeed. A good teammate will put there team's and teammate's success over their own individual performance, take responsibility for their mistakes and congratulate others on their successes. Playing on different teams, in different scenarios, requires adaptation to different team composition: adjusting to different players and strategies, learning quickly to utilize them together to get an advantage. Sometimes you must adapt to different roles depending on your team, filling positions that may be lacking to provide leadership, support, morale or guidance. All these skills are practiced when gaming as well as performance under **pressure** and determination to succeed.",COM-PSR,High Frequency
81,True,5.0,Some of the time,"Zelda: Breath of the Wild,Valorant,Bioshock,Last of Us,Rocket League","Gaming with a team builds skills like **efficient** and **effective communication** as well as coordination and encouragement. Success in team based games relies heavily on ability to enable your teammates to succeed. A good teammate will put there team's and teammate's success over their own individual performance, take responsibility for their mistakes and congratulate others on their successes. Playing on different teams, in different scenarios, requires adaptation to different team composition: adjusting to different players and strategies, learning **quickly** to utilize them together to get an advantage. Sometimes you must adapt to different roles depending on your team, filling positions that may be lacking to provide leadership, support, morale or guidance. All these skills are practiced when gaming as well as performance under pressure and determination to succeed.",COM-EFF,High Frequency
81,True,5.0,Some of the time,"Zelda: Breath of the Wild,Valorant,Bioshock,Last of Us,Rocket League","Gaming with a team builds skills like efficient and effective communication as well as **coordination** and encouragement. Success in team based games relies heavily on ability to enable your teammates to succeed. A good teammate will put there team's and teammate's success over their own individual performance, take responsibility for their mistakes and congratulate others on their successes. Playing on different teams, in different scenarios, requires adaptation to different team composition: adjusting to different players and strategies, learning quickly to utilize them together to get an advantage. Sometimes you must adapt to different roles depending on your team, filling positions that may be lacking to provide leadership, support, morale or guidance. All these skills are practiced when gaming as well as performance under pressure and determination to succeed.",CLB-COP,High Frequency
81,True,5.0,Some of the time,"Zelda: Breath of the Wild,Valorant,Bioshock,Last of Us,Rocket League","Gaming with a team builds **skills** like efficient and effective communication as well as coordination and encouragement. Success in team based games relies heavily on ability to enable your teammates to succeed. A good teammate will put there team's and teammate's success over their own individual performance, take responsibility for their mistakes and congratulate others on their successes. Playing on different teams, in different scenarios, requires adaptation to different team **composition**: adjusting to different players and strategies, learning quickly to utilize them together to get an advantage. Sometimes you must adapt to different roles depending on your team, filling positions that may be lacking to provide leadership, support, morale or guidance. All these **skills** are practiced when gaming as well as performance under pressure and determination to succeed.",CLB-MNG,High Frequency
81,True,5.0,Some of the time,"Zelda: Breath of the Wild,Valorant,Bioshock,Last of Us,Rocket League","Gaming with a team builds skills like efficient and effective communication as well as coordination and encouragement. Success in team based games relies heavily on ability to enable your teammates to succeed. A good teammate will put there team's and teammate's success over their own individual performance, take responsibility for their mistakes and congratulate others on their successes. Playing on different teams, in different scenarios, requires adaptation to different team composition: adjusting to different players and strategies, learning quickly to utilize them together to get an advantage. Sometimes you must adapt to different roles depending on your team, filling positions that may be lacking to provide leadership, support, **morale** or guidance. All these skills are practiced when gaming as well as performance under pressure and determination to succeed.",CLB-CMR,High Frequency
81,True,5.0,Some of the time,"Zelda: Breath of the Wild,Valorant,Bioshock,Last of Us,Rocket League","Gaming with a team builds skills like efficient and effective communication as well as coordination and encouragement. Success in team based games relies heavily on ability to enable your teammates to succeed. A good teammate will put there team's and teammate's success over their own individual performance, take responsibility for their mistakes and congratulate others on their successes. Playing on different teams, in different scenarios, requires adaptation to different team composition: **adjusting** to different players and strategies, learning quickly to utilize them together to get an advantage. Sometimes you must **adapt to different roles** depending on your team, filling positions that may be lacking to provide leadership, support, morale or guidance. All these skills are practiced when gaming as well as performance under pressure and determination to succeed.",PRO-ADP,High Frequency
81,True,5.0,Some of the time,"Zelda: Breath of the Wild,Valorant,Bioshock,Last of Us,Rocket League","Gaming with a team builds skills like efficient and effective communication as well as coordination and encouragement. Success in **team based games** relies heavily on ability to enable your teammates to succeed. A **good teammate** will put there team's and teammate's success over their own individual performance, take responsibility for their mistakes and congratulate others on their successes. Playing on different **teams**, in different scenarios, requires adaptation to different team composition: adjusting to different players and strategies, learning quickly to utilize them together to get an advantage. Sometimes you must adapt to different roles depending on your team, filling positions that may be lacking to provide leadership, support, morale or guidance. All these skills are practiced when gaming as well as performance under pressure and determination to succeed.",INT-GRP,High Frequency
81,True,5.0,Some of the time,"Zelda: Breath of the Wild,Valorant,Bioshock,Last of Us,Rocket League","Gaming with a team builds skills like efficient and effective communication as well as coordination and encouragement. Success in team based games relies heavily on ability to enable your teammates to succeed. A good teammate will put there team's and teammate's success over their own individual performance, take responsibility for their mistakes and congratulate others on their successes. Playing on different teams, in different scenarios, requires adaptation to different team composition: adjusting to different players and strategies, learning quickly to utilize them together to get an advantage. Sometimes you must adapt to different roles depending on your team, filling positions that may be lacking to provide leadership, **support**, morale or guidance. All these skills are practiced when gaming as well as performance under pressure and determination to succeed.",INT-OTH,High Frequency
81,True,5.0,Some of the time,"Zelda: Breath of the Wild,Valorant,Bioshock,Last of Us,Rocket League","Gaming with a team builds skills like efficient and effective communication as well as coordination and **encouragement**. Success in team based games relies heavily on ability to enable your teammates to succeed. A good teammate will put there team's and teammate's success over their own individual performance, take responsibility for their mistakes and congratulate others on their successes. Playing on different teams, in different scenarios, requires adaptation to different team composition: adjusting to different players and strategies, learning quickly to utilize them together to get an advantage. Sometimes you must adapt to different roles depending on your team, filling positions that may be lacking to provide leadership, support, **morale** or guidance. All these skills are practiced when gaming as well as performance under pressure and determination to succeed.",INT-ENC,High Frequency
81,True,5.0,Some of the time,"Zelda: Breath of the Wild,Valorant,Bioshock,Last of Us,Rocket League","Gaming with a team builds skills like efficient and effective communication as well as coordination and encouragement. Success in team based games relies heavily on ability to enable your teammates to succeed. A good teammate will put there team's and teammate's success over their own individual performance, take responsibility for their **mistakes** and congratulate others on their successes. Playing on different teams, in different scenarios, requires adaptation to different team composition: adjusting to different players and strategies, learning quickly to utilize them together to get an advantage. Sometimes you must adapt to different roles depending on your team, filling positions that may be lacking to provide leadership, support, morale or guidance. All these skills are practiced when gaming as well as performance under pressure and determination to succeed.",INT-VUL,High Frequency
81,True,5.0,Some of the time,"Zelda: Breath of the Wild,Valorant,Bioshock,Last of Us,Rocket League","Gaming with a team builds skills like efficient and effective communication as well as coordination and encouragement. Success in team based games relies heavily on ability to enable your teammates to succeed. A good teammate will put there team's and teammate's success over their own individual performance, take responsibility for their **mistakes** and congratulate others on their successes. Playing on different teams, in different scenarios, requires adaptation to different team composition: adjusting to different players and strategies, learning quickly to utilize them together to get an advantage. Sometimes you must adapt to different roles depending on your team, filling positions that may be lacking to provide leadership, support, morale or guidance. All these skills are practiced when gaming as well as performance under pressure and determination to succeed.",DEF-IRR,High Frequency
81,True,7.0,Always,"League of Legends,League of Legends,League of Legends,League of Legends,League of Legends","In video games I am extremely selfish. I always try to make a flashy play and sometimes end up losing my team the game. However in soccer in real life, I am a great **team player**. I think that playing team games overall has showed me that the team is far more powerful than the individual, although I think it is fun to be the one to make a flashy play sometimes.",INT-GRP,High Frequency
83,True,7.0,Half of the time,"Rocket league,Cyberpunk 2077,The Forest,League of Legends,Warframe","Yes. I've learned that doing anything with other people is more enjoyable than doing it alone. I have learned how to listen to other's advice without disregarding it and going in my own direction, and how to offer my own advice in a way that allows others to choose to **follow** it or now. ",SEF-FLW,High Frequency
83,True,7.0,Half of the time,"Rocket league,Cyberpunk 2077,The Forest,League of Legends,Warframe","Yes. I've learned that doing anything with other people is more enjoyable than doing it **alone**. I have learned how to listen to other's advice without disregarding it and going in my own direction, and how to offer my own advice in a way that allows others to choose to follow it or now. ",DEF-SLO,High Frequency
83,True,2.0,Most of the time,"Call of Duty,Fortnite,Back 4 Blood,Apex,GTAV","Sometimes I feel as though it makes me a better **team player**, however, the language used for gaming is vastly different than what I would consider to use in a professional setting.",INT-GRP,Low Frequency
83,True,7.0,Some of the time,"Chess,Magic: the Gathering,Civilization V,Minecraft,Pic-a-Pix","It does.  It teaches me how to communicate with my team members to decide on our goals and priorities, and make plans to accomplish our goals.  It also teaches me how to think about the interlocking progress of a team.  I get practice with teamwork from things like **coordinating** a battle plan involving both units of mine and those of my teammates in Civilization V, or deciding who will acquire various items for building something in Minecraft.",CLB-COP,High Frequency
83,True,7.0,Some of the time,"Chess,Magic: the Gathering,Civilization V,Minecraft,Pic-a-Pix","It does.  It teaches me how to communicate with my team members to decide on our goals and priorities, and make plans to accomplish our goals.  It also teaches me how to think about the interlocking progress of a team.  I get practice with teamwork from things like coordinating a battle **plan** involving both units of mine and those of my teammates in Civilization V, or deciding who will acquire various items for building something in Minecraft.",PRO-STR,High Frequency
83,True,7.0,Some of the time,"Chess,Magic: the Gathering,Civilization V,Minecraft,Pic-a-Pix","It does.  It teaches me how to communicate with my team members to decide on our goals and priorities, and make plans to accomplish our goals.  It also teaches me how to think about the interlocking progress of a team.  I get practice with **teamwork** from things like coordinating a battle plan involving both units of mine and those of my teammates in Civilization V, or deciding who will acquire various items for building something in Minecraft.",INT-GRP,High Frequency
