final score,gamer?,game days / week,team frequency,top 5 games,games essay,CODE,Gamer Group
87,True,4,Some of the time,"Legend of Zelda Tears of the Kingdom,Stardew Valley,Graveyard Keeper,Cult of the Lamb,Mario Party","Sometimes, I can become very competitive in games like Mario Party very fast. In games like Dead by Daylight I am more strategic and a **team player**, thinking and doing a game more logically is my favorite way to. It really depends on the type of game that I am playing, with or without **teamwork** required.",INT-GRP,High Frequency
96,True,1,Some of the time,"Elden ring,BNG,COD zombies,Halo reach,ready or not","I think it does. It makes me understand that with a strong lead, many times a team can **work together** with success. Although I am not a great leader, I enjoy following orders and doing the 'boring' tasks if it means our team has success.",CLB-COP,Low Frequency
31,True,5,Most of the time,"Apex Legends,Rocket League,GTA 5,Elden Ring,Lethal Company","I think it definitely does, especially for games like rocket league and apex legends where team communication is key to winning against other **teams**. You need to let your teammates know your next move and communicate effectively to work as a unit.",INT-GRP,High Frequency
86,True,7,Most of the time,"Rocket League,Valorant,Fortnite,League of Legends,Aimlabs","I believe my gaming makes me a better team player. My main game is Valorant which requires a lot of **team coordination** and communication for you to succeed, because of this I believe that I am a good communicator and can work well in a team.",CLB-COP,High Frequency
86,True,7,Most of the time,"Rocket League,Valorant,Fortnite,League of Legends,Aimlabs","I believe my gaming makes me a better **team player**. My main game is Valorant which requires a lot of team coordination and communication for you to succeed, because of this I believe that I am a good communicator and can work well in a team.",INT-GRP,High Frequency
100,True,2,Never,"MTG Arena,Cyberpunk 2077,Starfield,Elite Dangerous,DnD","I usually don't play as part of a team, but I used to when I had more friends who played. Gaming helps with communication, shared goals, and general fellowship. Interpersonal skills and communication are essential to working with a team. I often find that it is the more likable, relatable, and amiable who make the best team members. Having a certain level of comfort and trust is beneficial to operate efficiently as a team and being an outsider or loner often is counterproductive.

In a different regard, competitive gaming offers a different social skill which is that of grace in winning and losing. Sometimes in teams, when heads collide and ideas are put forth, the better ideas win and if the proposer is attached to this idea, it can lead to hurt feelings or disdainful attitudes toward the team. It's helpful to win gracefully and lose gracefully which does not harm others through your volition.

I am not one who enjoys assigning blame, rather I am more concerned with assessing the failure and correcting the issues which contributed to that end, so that they are not repeated. Gaming helps with this as well, because in defeat it can be easy to point fingers and flame **heated** emotions, while these are counterproductive and only result in dividing the team.

In these ways, gaming makes me a better team player.",COM-PSR,Low Frequency
100,True,2,Never,"MTG Arena,Cyberpunk 2077,Starfield,Elite Dangerous,DnD","I usually don't play as part of a team, but I used to when I had more friends who played. Gaming helps with communication, shared goals, and general fellowship. Interpersonal skills and communication are essential to working with a team. I often find that it is the more likable, relatable, and amiable who make the best team members. Having a certain level of comfort and trust is beneficial to operate **efficiently** as a team and being an outsider or loner often is counterproductive.

In a different regard, competitive gaming offers a different social skill which is that of grace in winning and losing. Sometimes in teams, when heads collide and ideas are put forth, the better ideas win and if the proposer is attached to this idea, it can lead to hurt feelings or disdainful attitudes toward the team. It's helpful to win gracefully and lose gracefully which does not harm others through your volition.

I am not one who enjoys assigning blame, rather I am more concerned with assessing the failure and correcting the issues which contributed to that end, so that they are not repeated. Gaming helps with this as well, because in defeat it can be easy to point fingers and flame heated emotions, while these are counterproductive and only result in dividing the team.

In these ways, gaming makes me a better team player.",COM-EFF,Low Frequency
100,True,2,Never,"MTG Arena,Cyberpunk 2077,Starfield,Elite Dangerous,DnD","I usually don't play as part of a team, but I used to when I had more friends who played. Gaming helps with communication, shared goals, and general fellowship. Interpersonal **skills** and communication are essential to working with a team. I often find that it is the more likable, relatable, and amiable who make the best team members. Having a certain level of comfort and trust is beneficial to operate efficiently as a team and being an outsider or loner often is counterproductive.

In a different regard, competitive gaming offers a different social skill which is that of grace in winning and losing. Sometimes in teams, when heads collide and ideas are put forth, the better ideas win and if the proposer is attached to this idea, it can lead to hurt feelings or disdainful attitudes toward the team. It's helpful to win gracefully and lose gracefully which does not harm others through your volition.

I am not one who enjoys assigning blame, rather I am more concerned with assessing the failure and correcting the issues which contributed to that end, so that they are not repeated. Gaming helps with this as well, because in defeat it can be easy to point fingers and flame heated emotions, while these are counterproductive and only result in dividing the team.

In these ways, gaming makes me a better team player.",CLB-MNG,Low Frequency
100,True,2,Never,"MTG Arena,Cyberpunk 2077,Starfield,Elite Dangerous,DnD","I usually don't play as part of a team, but I used to when I had more friends who played. Gaming helps with communication, shared goals, and general fellowship. Interpersonal skills and communication are essential to working with a team. I often find that it is the more likable, relatable, and amiable who make the best team members. Having a certain level of comfort and **trust** is beneficial to operate efficiently as a team and being an outsider or loner often is counterproductive.

In a different regard, competitive gaming offers a different social skill which is that of grace in winning and losing. Sometimes in teams, when heads collide and ideas are put forth, the better ideas win and if the proposer is attached to this idea, it can lead to hurt feelings or disdainful attitudes toward the team. It's helpful to win gracefully and lose gracefully which does not harm others through your volition.

I am not one who enjoys assigning blame, rather I am more concerned with assessing the failure and correcting the issues which contributed to that end, so that they are not repeated. Gaming helps with this as well, because in defeat it can be easy to point fingers and flame heated emotions, while these are counterproductive and only result in dividing the team.

In these ways, gaming makes me a better team player.",CLB-CMR,Low Frequency
100,True,2,Never,"MTG Arena,Cyberpunk 2077,Starfield,Elite Dangerous,DnD","I usually don't play as part of a team, but I used to when I had more friends who played. Gaming helps with communication, **shared goal**s, and general fellowship. Interpersonal skills and communication are essential to working with a team. I often find that it is the more likable, relatable, and amiable who make the best team members. Having a certain level of comfort and trust is beneficial to operate efficiently as a team and being an outsider or loner often is counterproductive.

In a different regard, competitive gaming offers a different social skill which is that of grace in winning and losing. Sometimes in teams, when heads collide and ideas are put forth, the better ideas win and if the proposer is attached to this idea, it can lead to hurt feelings or disdainful attitudes toward the team. It's helpful to win gracefully and lose gracefully which does not harm others through your volition.

I am not one who enjoys assigning blame, rather I am more concerned with assessing the failure and correcting the issues which contributed to that end, so that they are not repeated. Gaming helps with this as well, because in defeat it can be easy to point fingers and flame heated emotions, while these are counterproductive and only result in dividing the team.

In these ways, gaming makes me a better team player.",PRO-GOL,Low Frequency
100,True,2,Never,"MTG Arena,Cyberpunk 2077,Starfield,Elite Dangerous,DnD","I usually don't play as part of a team, but I used to when I had more friends who played. Gaming helps with communication, shared goals, and general fellowship. Interpersonal skills and communication are essential to working with a team. I often find that it is the more likable, relatable, and amiable who make the best team members. Having a certain level of comfort and trust is beneficial to operate efficiently as a team and being an outsider or loner often is counterproductive.

In a different regard, competitive gaming offers a different social skill which is that of grace in winning and losing. Sometimes in **teams**, when heads collide and ideas are put forth, the better ideas win and if the proposer is attached to this idea, it can lead to hurt feelings or disdainful attitudes toward the team. It's helpful to win gracefully and lose gracefully which does not harm others through your volition.

I am not one who enjoys assigning blame, rather I am more concerned with assessing the failure and correcting the issues which contributed to that end, so that they are not repeated. Gaming helps with this as well, because in defeat it can be easy to point fingers and flame heated emotions, while these are counterproductive and only result in dividing the team.

In these ways, gaming makes me a better **team player**.",INT-GRP,Low Frequency
100,True,2,Never,"MTG Arena,Cyberpunk 2077,Starfield,Elite Dangerous,DnD","I usually don't play as part of a team, but I used to when I had more friends who played. Gaming helps with communication, shared goals, and general fellowship. Interpersonal skills and communication are essential to working with a team. I often find that it is the more likable, relatable, and amiable who make the best team members. Having a certain level of comfort and trust is beneficial to operate efficiently as a team and being an outsider or loner often is counterproductive.

In a different regard, competitive gaming offers a different social skill which is that of grace in winning and losing. Sometimes in teams, when heads collide and ideas are put forth, the better ideas win and if the proposer is attached to this idea, it can lead to hurt feelings or disdainful attitudes toward the team. It's helpful to win gracefully and lose gracefully which does not harm others through your volition.

I am not one who enjoys assigning blame, rather I am more concerned with assessing the failure and correcting the issues which contributed to that end, so that they are not repeated. Gaming helps with this as well, because in defeat it can be easy to point fingers and **flame** heated emotions, while these are counterproductive and only result in dividing the team.

In these ways, gaming makes me a better team player.",DEF-ISO,Low Frequency
92,True,3,Always,"Battlebit Remastered,Battlefield 2042,Lethal Company,Call of Duty,Squad","I think being a gamer does make me a better team player, reason being is that I can easily take charge of teammates and rally them to complete objectives/missions in a game. Along with being the opposite as well, I am more than happy and comfortable with someone else taking charge and rallying the troops together for us all to complete objectives/missions in a game, because in the end all of us in the game are working towards a **goal** and being able to work well together will help us win the game.",PRO-GOL,Low Frequency
92,True,3,Always,"Battlebit Remastered,Battlefield 2042,Lethal Company,Call of Duty,Squad","I think being a gamer does make me a better **team player**, reason being is that I can easily take charge of teammates and rally them to complete objectives/missions in a game. Along with being the opposite as well, I am more than happy and comfortable with someone else taking charge and rallying the troops together for us all to complete objectives/missions in a game, because in the end all of us in the game are working towards a goal and being able to work well together will help us win the game.",INT-GRP,Low Frequency
92,True,3,Always,"Battlebit Remastered,Battlefield 2042,Lethal Company,Call of Duty,Squad","I think being a gamer does make me a better team player, reason being is that I can easily take charge of teammates and rally them to complete objectives/missions in a game. Along with being the opposite as well, I am more than happy and comfortable with someone else taking charge and rallying the troops together for us all to complete objectives/missions in a game, because in the end all of us in the game are working towards a goal and being able to work well together will **help** us win the game.",INT-OTH,Low Frequency
98,True,7,Never,"Teamfight Tactics,Dark and Darker,Mechabellum,FFXIV,Typeracer","I believe the main thing games have helped me with is **patience** and tenacity. You're really bad at most games at the beginning of the learning curve and it takes significant **patience** in order to learn and understand the game before you can start to ""get good."" This portion of gameplay can be fairly unentertaining if you're solely focused on that immediate dopamine hit, but if you wait for that long term satisfaction then games really open up to you. As for Tenacity, once you're past the learning curve and you start marching towards the skill ceiling, it takes significant tenacity as you get worse then better then worse again, to keep with it and keep trying to improve. All of these together make me more **patient** and understanding when working with people and I have more of a backbone to put in the work the team needs from me.",INT-PAT,High Frequency
41,True,2,Most of the time,"monopoly,chess,tag,war,beerpong",Yes it does because it makes me build aspects of my character more such as my ability to be reliable and my strength both in my ability to resolve any task successfully and also my physical strength to accomplish any task that comes my way.,UNCODED,Low Frequency
94,True,5,Most of the time,"Valorant,Counter-Strike,Days Gone,Half-Life 2,League of Legends","I believe it does.  I mostly play Counter-Strike which is a 5 vs 5 team-based first person shooter game.  It has a lot of similarities to basketball which I used to play a lot of as well.  There's a balance in games like this between individual skill and teamwork which is very appealing to me.  The teamwork aspect of these games requires you to pay attention to your teammates: anticipating their needs, putting the right people in the right positions, coming up with a strategy, and agreeing on goals both **short**-term and long-term.  Through my experience playing team games for a long time I've learned that a little help can go a long way, so I always try to help teammates in any way I reasonably can.",COM-EFF,High Frequency
94,True,5,Most of the time,"Valorant,Counter-Strike,Days Gone,Half-Life 2,League of Legends","I believe it does.  I mostly play Counter-Strike which is a 5 vs 5 team-based first person shooter game.  It has a lot of similarities to basketball which I used to play a lot of as well.  There's a balance in games like this between individual skill and teamwork which is very appealing to me.  The teamwork aspect of these games requires you to pay attention to your teammates: anticipating their needs, putting the right people in the right positions, coming up with a **strategy**, and agreeing on goals both short-term and long-term.  Through my experience playing team games for a long time I've learned that a little help can go a long way, so I always try to help teammates in any way I reasonably can.",PRO-STR,High Frequency
94,True,5,Most of the time,"Valorant,Counter-Strike,Days Gone,Half-Life 2,League of Legends","I believe it does.  I mostly play Counter-Strike which is a 5 vs 5 team-based first person shooter game.  It has a lot of similarities to basketball which I used to play a lot of as well.  There's a balance in games like this between individual skill and **teamwork** which is very appealing to me.  The **teamwork** aspect of these games requires you to pay attention to your teammates: anticipating their needs, putting the right people in the right positions, coming up with a strategy, and agreeing on goals both short-term and long-term.  Through my experience playing team games for a long time I've learned that a little help can go a long way, so I always try to help teammates in any way I reasonably can.",INT-GRP,High Frequency
94,True,5,Most of the time,"Valorant,Counter-Strike,Days Gone,Half-Life 2,League of Legends","I believe it does.  I mostly play Counter-Strike which is a 5 vs 5 team-based first person shooter game.  It has a lot of similarities to basketball which I used to play a lot of as well.  There's a balance in games like this between individual skill and teamwork which is very appealing to me.  The teamwork aspect of these games requires you to pay attention to your teammates: anticipating their needs, putting the right people in the right positions, coming up with a strategy, and agreeing on goals both short-term and long-term.  Through my experience playing team games for a long time I've learned that a little **help** can go a long way, so I always try to **help** teammates in any way I reasonably can.",INT-OTH,High Frequency
77,True,2,Never,"Fifa,Madden,CSGO,GTA,Sim city",yes because we have to **work together** to get the outcome,CLB-COP,Low Frequency
96,True,2,Some of the time,"A large verity. I like hopping around.,Minecraft,,,",I think in part it does make me a better team player. It does show me how resourceful and effective it can be to be part of a team. It also has shown me the need for balance it is good to let your thoughts and opinions be known so that it is a true team vision but there are times when the team isn't going in the direction you think it should be and if you'll have a discussion about it and decided that this is the way we are going to go then you got to get behind that. I also have come to understand that it isn't about any individual even the leader it is about coming together hearing what everyone has to say and then having a focused and **clear** outcome that everyone is working towards.,COM-CLR,Low Frequency
96,True,2,Some of the time,"A large verity. I like hopping around.,Minecraft,,,",I think in part it does make me a better **team player**. It does show me how resourceful and effective it can be to be part of a team. It also has shown me the need for balance it is good to let your thoughts and opinions be known so that it is a true team vision but there are times when the team isn't going in the direction you think it should be and if you'll have a discussion about it and decided that this is the way we are going to go then you got to get behind that. I also have come to understand that it isn't about any individual even the leader it is about coming together hearing what everyone has to say and then having a focused and clear outcome that everyone is working towards.,INT-GRP,Low Frequency
95,True,4,Half of the time,"The Finals,Path of exile,Baldur's Gate 3,Risk of Rain 2,Overwatch","Based off of communication, **teamwork**, and unique roles within video games. I have been able to translate that towards a better **team environment**",INT-GRP,High Frequency
50,True,5,Some of the time,"Call of Duty,League of Legends,Minecraft,Forza,Lies of P","Yes, it forces me to communicate with others in an effective and **concise** way in order to reach not only my goal, but the goal of the team. ",COM-EFF,High Frequency
50,True,5,Some of the time,"Call of Duty,League of Legends,Minecraft,Forza,Lies of P","Yes, it forces me to communicate with others in an effective and concise way in order to reach not only my **goal**, but the **goal** of the team. ",PRO-GOL,High Frequency
82,True,3,Some of the time,"Terraria,Starbound,Skyrim,Fallout 4,Super Smash Bros","Most of my gaming is single player, but the multipliers do make me a better team member by having a **common goal** to work towards and having to rely on my teammates.",PRO-GOL,Low Frequency
82,True,3,Some of the time,"Terraria,Starbound,Skyrim,Fallout 4,Super Smash Bros","Most of my gaming is **single player**, but the multipliers do make me a better team member by having a common goal to work towards and having to rely on my teammates.",DEF-SLO,Low Frequency
71,True,2,Some of the time,"Lethal Company,League of Legends,Guild Wars 2,Fortnite,","I believe gaming does make me a better team player. When playing games with other people, you have to be able to determine everyone's **strengths and weaknesses**, this sometimes includes the enemy team. Sometimes, you even have to be able to fill roles you are not used to and learn how to effectively be in that **role**.",CLB-MNG,Low Frequency
71,True,2,Some of the time,"Lethal Company,League of Legends,Guild Wars 2,Fortnite,","I believe gaming does make me a better **team player**. When playing games with other people, you have to be able to determine everyone's strengths and weaknesses, this sometimes includes the enemy team. Sometimes, you even have to be able to fill roles you are not used to and learn how to effectively be in that role.",INT-GRP,Low Frequency
88,True,5,Some of the time,"Civ 5,Rimworld,Factorio,Rocket League,Stardew Valley","Yes. Although I don't play shooters much these days anymore, I used to play them a lot and it became abundantly **clear** that every time I took off solo in a team match, my performance was consistently worse than coordinating with teammates. Also, blindly charging for the ball all of the time in Rocket League very consistently guarantees worse outcomes than if you hang back a bit and let your teammate(s) who are closer to the ball set up a better shot for you or another teammate.",COM-CLR,High Frequency
88,True,5,Some of the time,"Civ 5,Rimworld,Factorio,Rocket League,Stardew Valley","Yes. Although I don't play shooters much these days anymore, I used to play them a lot and it became abundantly clear that every time I took off solo in a team match, my performance was consistently worse than **coordinating** with teammates. Also, blindly charging for the ball all of the time in Rocket League very consistently guarantees worse outcomes than if you hang back a bit and let your teammate(s) who are closer to the ball set up a better shot for you or another teammate.",CLB-COP,High Frequency
88,True,5,Some of the time,"Civ 5,Rimworld,Factorio,Rocket League,Stardew Valley","Yes. Although I don't play shooters much these days anymore, I used to play them a lot and it became abundantly clear that every time I took off **solo** in a team match, my performance was consistently worse than coordinating with teammates. Also, blindly charging for the ball all of the time in Rocket League very consistently guarantees worse outcomes than if you hang back a bit and let your teammate(s) who are closer to the ball set up a better shot for you or another teammate.",DEF-SLO,High Frequency
93,True,5,Some of the time,"Overwatch 2,Heroes of the Storm,AAA PC single player game,AAA PC single player game,Some kind of Nintendo game","Depends on the game. If it is a multiplayer, certainly. You are on voice comms with your teammates and you have to **coordinate** a strategy. There is always someone shotcalling, but not necessarily one person. If you see something, you say something. If it is a single player game, then no this dosen't apply. ",CLB-COP,High Frequency
93,True,5,Some of the time,"Overwatch 2,Heroes of the Storm,AAA PC single player game,AAA PC single player game,Some kind of Nintendo game","Depends on the game. If it is a multiplayer, certainly. You are on voice comms with your teammates and you have to coordinate a **strategy**. There is always someone **shotcalling**, but not necessarily one person. If you see something, you say something. If it is a single player game, then no this dosen't apply. ",PRO-STR,High Frequency
93,True,5,Some of the time,"Overwatch 2,Heroes of the Storm,AAA PC single player game,AAA PC single player game,Some kind of Nintendo game","Depends on the game. If it is a **multiplayer**, certainly. You are on voice comms with your teammates and you have to coordinate a strategy. There is always someone shotcalling, but not necessarily one person. If you see something, you say something. If it is a single player game, then no this dosen't apply. ",INT-GRP,High Frequency
93,True,5,Some of the time,"Overwatch 2,Heroes of the Storm,AAA PC single player game,AAA PC single player game,Some kind of Nintendo game","Depends on the game. If it is a multiplayer, certainly. You are on voice comms with your teammates and you have to coordinate a strategy. There is always someone shotcalling, but not necessarily one person. If you see something, you say something. If it is a **single player** game, then no this dosen't apply. ",DEF-SLO,High Frequency
97,True,4,Some of the time,"Smite ,Counter Strike 2,Valorant,,",When I choose to gaming improves my communication **skills** as I talk to teammates under a similar set of dialogue and vocabulary.,CLB-MNG,High Frequency
92,True,3,Some of the time,"A Plague Tale Requiem,Ghost of Tsushima,Dead by Deadlight,Mass Effect,Evil Dead - The Game","Games such as Ghost of Tsushima, A Plague Tale, and Mass Effect don't teach me much about being a better team player since I play them solo. On the other hand, games such as Dead by Deadlight and Evil Dead have taught me lessons about the importance of **collaboration**. 

I'll say that these two games share the same message: without teamwork, you will fail. I learned from these games that it doesn't matter how good you are at playing. If you don't **collaborate** with others, you will fail due to the overwhelming amount of work you'll have to do by yourself. Sharing tasks among team members is the key to success. You might also enjoy the game and not be stressed about it! 

So, what I'll try to do in this class is not to abandon my team and do my best to support them as much as possible. ",CLB-COP,Low Frequency
92,True,3,Some of the time,"A Plague Tale Requiem,Ghost of Tsushima,Dead by Deadlight,Mass Effect,Evil Dead - The Game","Games such as Ghost of Tsushima, A Plague Tale, and Mass Effect don't teach me much about being a better **team player** since I play them solo. On the other hand, games such as Dead by Deadlight and Evil Dead have taught me lessons about the importance of collaboration. 

I'll say that these two games share the same message: without **teamwork**, you will fail. I learned from these games that it doesn't matter how good you are at playing. If you don't collaborate with others, you will fail due to the overwhelming amount of work you'll have to do by yourself. Sharing tasks among team members is the key to success. You might also enjoy the game and not be stressed about it! 

So, what I'll try to do in this class is not to abandon my team and do my best to support them as much as possible. ",INT-GRP,Low Frequency
92,True,3,Some of the time,"A Plague Tale Requiem,Ghost of Tsushima,Dead by Deadlight,Mass Effect,Evil Dead - The Game","Games such as Ghost of Tsushima, A Plague Tale, and Mass Effect don't teach me much about being a better team player since I play them solo. On the other hand, games such as Dead by Deadlight and Evil Dead have taught me lessons about the importance of collaboration. 

I'll say that these two games share the same message: without teamwork, you will fail. I learned from these games that it doesn't matter how good you are at playing. If you don't collaborate with others, you will fail due to the overwhelming amount of work you'll have to do by yourself. Sharing tasks among team members is the key to success. You might also enjoy the game and not be stressed about it! 

So, what I'll try to do in this class is not to abandon my team and do my best to **support** them as much as possible. ",INT-OTH,Low Frequency
92,True,3,Some of the time,"A Plague Tale Requiem,Ghost of Tsushima,Dead by Deadlight,Mass Effect,Evil Dead - The Game","Games such as Ghost of Tsushima, A Plague Tale, and Mass Effect don't teach me much about being a better team player since I play them **solo**. On the other hand, games such as Dead by Deadlight and Evil Dead have taught me lessons about the importance of collaboration. 

I'll say that these two games share the same message: without teamwork, you will fail. I learned from these games that it doesn't matter how good you are at playing. If you don't collaborate with others, you will fail due to the overwhelming amount of work you'll have to do by yourself. Sharing tasks among team members is the key to success. You might also enjoy the game and not be stressed about it! 

So, what I'll try to do in this class is not to abandon my team and do my best to support them as much as possible. ",DEF-SLO,Low Frequency
90,True,2,Some of the time,"Call of Duty,Smash Bros,Red Dead Redemption 2,Chess online,Ballon Tower Defense 6","Probably not, I am generally aware of my skill level on the team. If I know that I am a bad player then I generally let others lead and tend to be less helpful. On the other hand, if I feel like the other members are not pulling their weight than, I usually focus on my own plans for winning the game. In **short**, I think I focus too much on being competitive in games and it effects the quality of teammate that I become in those scenarios. ",COM-EFF,Low Frequency
90,True,2,Some of the time,"Call of Duty,Smash Bros,Red Dead Redemption 2,Chess online,Ballon Tower Defense 6","Probably not, I am generally aware of my skill level on the team. If I know that I am a bad player then I generally let others lead and tend to be less helpful. On the other hand, if I feel like the other members are not pulling their **weight** than, I usually focus on my own plans for winning the game. In short, I think I focus too much on being competitive in games and it effects the quality of teammate that I become in those scenarios. ",SEF-DTR,Low Frequency
90,True,2,Some of the time,"Call of Duty,Smash Bros,Red Dead Redemption 2,Chess online,Ballon Tower Defense 6","Probably not, I am generally aware of my skill level on the team. If I know that I am a bad player then I generally **let others lead** and tend to be less helpful. On the other hand, if I feel like the other members are not pulling their weight than, I usually focus on my own plans for winning the game. In short, I think I focus too much on being competitive in games and it effects the quality of teammate that I become in those scenarios. ",SEF-FLW,Low Frequency
101,True,3,Most of the time,"Destiny,Counter-Strike,Fortnite,,",Gaming does make me a better team player. The reason I say this is gaming as a team requires communication skills and understanding everyone's strengths and weaknesses. This improves my communication skills as it requires me to relay what I want my team to do **efficiently**.,COM-EFF,Low Frequency
101,True,3,Most of the time,"Destiny,Counter-Strike,Fortnite,,",Gaming does make me a better team player. The reason I say this is gaming as a team requires communication **skills** and understanding everyone's **strengths and weaknesses**. This improves my communication **skills** as it requires me to relay what I want my team to do efficiently.,CLB-MNG,Low Frequency
101,True,3,Most of the time,"Destiny,Counter-Strike,Fortnite,,",Gaming does make me a better **team player**. The reason I say this is gaming as a team requires communication skills and understanding everyone's strengths and weaknesses. This improves my communication skills as it requires me to relay what I want my team to do efficiently.,INT-GRP,Low Frequency
88,False,1,Some of the time,"Madden,MLB,NBA 2k,Fifa,Fortnite",It improves **strategizing**.,PRO-STR,Low Frequency
100,True,2,Never,"Borderlands 2,Civilization 6,Skyrim,Satisfactory,Cyberpunk 2077",I don't think that playing games helps me be a team player because I mainly play single player AAA games or **strategy** games I don't really play multiplayer games.,PRO-STR,Low Frequency
100,True,2,Never,"Borderlands 2,Civilization 6,Skyrim,Satisfactory,Cyberpunk 2077",I don't think that playing games helps me be a **team player** because I mainly play single player AAA games or strategy games I don't really play **multiplayer** games.,INT-GRP,Low Frequency
100,True,2,Never,"Borderlands 2,Civilization 6,Skyrim,Satisfactory,Cyberpunk 2077",I don't think that playing games helps me be a team player because I mainly play **single player** AAA games or strategy games I don't really play multiplayer games.,DEF-SLO,Low Frequency
87,True,3,Some of the time,"Baldur's Gate 3,God of War Ragnarok,Zomboid,Deep Rock Galactic,Rimworld",Team gaming helps me understand my **role** in a team. When working in a team also adds motivation for me to do my absolute best on projects or tasks.,CLB-MNG,Low Frequency
87,True,3,Some of the time,"Baldur's Gate 3,God of War Ragnarok,Zomboid,Deep Rock Galactic,Rimworld",Team gaming helps me understand my role in a team. When working in a team also adds **motivation** for me to do my absolute best on projects or tasks.,INT-ENC,Low Frequency
86,True,6,Most of the time,"Overwatch ,Counter Strike,Risk of Rain,Minecraft,Sid Meier Civilization","I like to think so. I mainly play competitive in Counter Strike, and in that game it is very important to give **concise** and clear information to your teammates. Another learned skill is to know when to let your teammates play their game versus constantly talking and telling them what to do. 

While playing online team based competitive games like Counter Strike and Overwatch, especially when microphones are commonplace it can be very easy to become frustrated with your team. Many times you will encounter toxic teammates that will trash talk you and there is no getting away from that. Being in that environment gives you thick skin, but also demonstrates to me how to be a better teammate. I know when someone talks to me like that I don't listen to them, even if what they say is valid. The rude way of communication immediately shuts down avenues to improve so I try to keep team spirit up, and giving nice but constructive criticism. I do my best to be kind to my teammates even when someone on our team is being mean, or if someone is noticeably lacking. Being mean in response is never the solution and only makes the team worse by removing the cohesion required to succeed as a team. When someone is performing poorly it's often never the case that they aren't aware of that so telling them they're playing bad doesn't do anything but upset them. Instead, try to help them by suggesting other things or playing to their strengths and supporting their weaknesses so that the whole team benefits. ",COM-EFF,High Frequency
